"customer_name","productname","quantity"
"Ava Smith","iPhone 14",2
"Liam Johnson","Mens Leather Jacket",1
"Emma Brown","Blender & Mixer",4
"Noah Jones","The Great Gatsby",2
"Olivia Garcia","Electric Toothbrush",1
"William Miller","Samsung Galaxy S23",3
"Sophia Davis","Non-stick Cookware Set",1
"James Martinez","Data Structures & Algorithms Book",2
"Isabella Hernandez","Womens Handbag",5
"Benjamin Lopez","Protein Powder",1
"Mia Gonzalez","Yoga Mat",2
"Lucas Wilson","Mountain Bike Helmet",1
"Charlotte Anderson","Lego Classic Set",3
"Henry Thomas","RC Car",1
"Amelia Taylor","Car Vacuum Cleaner",4
"Alexander Moore","Car Mobile Holder",2
"Evelyn Jackson","Makeup Kit",1
"Daniel Martin","Face Serum",2
"Harper Lee","Organic Basmati Rice",1
"Michael Perez","Green Tea Bags",3
